index_date,close,high,low
2021-04-16,61572.7890625,63594.72265625,60222.53125
2021-04-17,60683.8203125,62572.17578125,60361.3515625
2021-04-18,56216.18359375,61057.45703125,52829.53515625
2021-04-19,55724.265625,57520.0546875,54368.59375
2021-04-20,56473.03125,57062.1484375,53448.046875
2021-04-21,53906.08984375,56757.97265625,53695.46875
2021-04-22,51762.2734375,55410.23046875,50583.8125
2021-04-23,51093.65234375,52120.79296875,47714.6640625
2021-04-24,50050.8671875,51167.5625,48805.28515625
2021-04-25,49004.25390625,50506.01953125,47159.484375
2021-04-26,54021.75390625,54288.00390625,48852.796875
2021-04-27,55033.1171875,55416.96484375,53319.1875
2021-04-28,54824.703125,56227.20703125,53887.91796875
2021-04-29,53555.109375,55115.84375,52418.02734375
2021-04-30,57750.17578125,57900.71875,53129.6015625
2021-05-01,57828.05078125,58448.33984375,57052.2734375
2021-05-02,56631.078125,57902.59375,56141.90625
2021-05-03,57200.29296875,58973.30859375,56590.87109375
2021-05-04,53333.5390625,57214.1796875,53191.42578125
2021-05-05,57424.0078125,57911.36328125,52969.0546875
2021-05-06,56396.515625,58363.31640625,55382.5078125
2021-05-07,57356.40234375,58606.6328125,55321.84765625
2021-05-08,58803.77734375,59464.61328125,56975.2109375
2021-05-09,58232.31640625,59210.8828125,56482.00390625
2021-05-10,55859.796875,59519.35546875,54071.45703125
2021-05-11,56704.57421875,56872.54296875,54608.65234375
2021-05-12,49150.53515625,57939.36328125,49150.53515625
2021-05-13,49716.19140625,51330.84375,46980.01953125
2021-05-14,49880.53515625,51438.1171875,48868.578125
2021-05-15,46760.1875,50639.6640625,46664.140625
2021-05-16,46456.05859375,49720.04296875,43963.3515625
2021-05-17,43537.51171875,46623.55859375,42207.2890625
2021-05-18,42909.40234375,45812.45703125,42367.83203125
2021-05-19,37002.44140625,43546.1171875,30681.49609375
2021-05-20,40782.73828125,42462.984375,35050.6171875
2021-05-21,37304.69140625,42172.171875,33616.453125
2021-05-22,37536.6328125,38831.0546875,35383.68359375
2021-05-23,34770.58203125,38289.21875,31227.33984375
2021-05-24,38705.98046875,39835.140625,34551.08203125
2021-05-25,38402.22265625,39776.3515625,36581.4296875
2021-05-26,39294.19921875,40782.078125,37905.8359375
2021-05-27,38436.96875,40379.6171875,37247.90234375
2021-05-28,35697.60546875,38856.96875,34779.0390625
2021-05-29,34616.06640625,37234.5,33693.9296875
2021-05-30,35678.12890625,36400.66796875,33520.73828125
2021-05-31,37332.85546875,37468.25,34241.9453125
2021-06-01,36684.92578125,37896.734375,35787.0859375
2021-06-02,37575.1796875,38231.33984375,35966.30859375
2021-06-03,39208.765625,39478.953125,37243.97265625
2021-06-04,36894.40625,39242.484375,35717.72265625
2021-06-05,35551.95703125,37917.71484375,34900.4140625
2021-06-06,35862.37890625,36436.421875,35304.578125
2021-06-07,33560.70703125,36790.5703125,33480.640625
2021-06-08,33472.6328125,34017.38671875,31114.443359375
2021-06-09,37345.12109375,37537.37109375,32475.865234375
2021-06-10,36702.59765625,38334.32421875,35847.59375
2021-06-11,37334.3984375,37608.6953125,36044.44921875
2021-06-12,35552.515625,37408.92578125,34728.19140625
2021-06-13,39097.859375,39322.78125,34864.109375
2021-06-14,40218.4765625,40978.36328125,38757.28515625
2021-06-15,40406.26953125,41295.26953125,39609.46875
2021-06-16,38347.0625,40516.77734375,38176.03515625
2021-06-17,38053.50390625,39513.671875,37439.67578125
2021-06-18,35787.24609375,38187.26171875,35255.85546875
2021-06-19,35615.87109375,36457.796875,34933.0625
2021-06-20,35698.296875,36059.484375,33432.07421875
2021-06-21,31676.693359375,35721.640625,31295.935546875
2021-06-22,32505.66015625,33292.453125,28893.62109375
2021-06-23,33723.02734375,34753.41015625,31772.6328125
2021-06-24,34662.4375,35228.8515625,32385.21484375
2021-06-25,31637.779296875,35487.24609375,31350.884765625
2021-06-26,32186.27734375,32637.587890625,30184.501953125
2021-06-27,34649.64453125,34656.12890625,32071.7578125
2021-06-28,34434.3359375,35219.890625,33902.07421875
2021-06-29,35867.77734375,36542.109375,34252.484375
2021-06-30,35040.8359375,36074.7578125,34086.15234375
2021-07-01,33572.1171875,35035.984375,32883.78125
2021-07-02,33897.046875,33939.58984375,32770.6796875
2021-07-03,34668.546875,34909.26171875,33402.6953125
2021-07-04,35287.78125,35937.56640625,34396.4765625
2021-07-05,33746.00390625,35284.34375,33213.66015625
2021-07-06,34235.1953125,35038.53515625,33599.91796875
2021-07-07,33855.328125,34997.6640625,33839.2890625
2021-07-08,32877.37109375,33907.90625,32133.18359375
2021-07-09,33798.01171875,34042.29296875,32318.880859375
2021-07-10,33520.51953125,34209.0703125,33116.01171875
2021-07-11,34240.1875,34584.703125,33346.73828125
2021-07-12,33155.84765625,34592.15625,32697.30859375
2021-07-13,32702.025390625,33327.1015625,32261.419921875
2021-07-14,32822.34765625,33061.3984375,31639.125
2021-07-15,31780.73046875,33159.640625,31175.708984375
2021-07-16,31421.5390625,32218.40625,31100.673828125
2021-07-17,31533.068359375,31935.9453125,31223.990234375
2021-07-18,31796.810546875,32398.99609375,31215.4921875
2021-07-19,30817.83203125,31885.859375,30563.734375
2021-07-20,29807.34765625,31006.1875,29360.955078125
2021-07-21,32110.693359375,32752.326171875,29526.18359375
2021-07-22,32313.10546875,32576.400390625,31745.298828125
2021-07-23,33581.55078125,33581.55078125,32057.892578125
2021-07-24,34292.4453125,34490.390625,33424.859375
2021-07-25,35350.1875,35364.92578125,33881.8359375
2021-07-26,37337.53515625,40499.67578125,35287.3125
2021-07-27,39406.94140625,39406.94140625,36441.7265625
2021-07-28,39995.90625,40816.0703125,38862.4375
2021-07-29,40008.421875,40593.0703125,39352.05859375
2021-07-30,42235.546875,42235.546875,38397.35546875
2021-07-31,41626.1953125,42231.44921875,41110.83203125
2021-08-01,39974.89453125,42541.6796875,39540.94140625
2021-08-02,39201.9453125,40419.1796875,38746.34765625
2021-08-03,38152.98046875,39750.03125,37782.05078125
2021-08-04,39747.50390625,39952.296875,37589.1640625
2021-08-05,40869.5546875,41341.93359375,37458.00390625
2021-08-06,42816.5,43271.66015625,39932.1796875
2021-08-07,44555.80078125,44689.859375,42618.56640625
2021-08-08,43798.1171875,45282.3515625,43331.91015625
2021-08-09,46365.40234375,46456.83203125,42848.6875
2021-08-10,45585.03125,46637.98828125,44705.5546875
2021-08-11,45593.63671875,46735.6328125,45351.7109375
2021-08-12,44428.2890625,46228.91015625,43861.4453125
2021-08-13,47793.3203125,47831.9765625,44282.41796875
2021-08-14,47096.9453125,48098.68359375,46177.6328125
2021-08-15,47047.00390625,47357.10546875,45579.58984375
2021-08-16,46004.484375,47998.09765625,45700.3203125
2021-08-17,44695.359375,47139.5703125,44512.41796875
2021-08-18,44801.1875,45952.0625,44364.02734375
2021-08-19,46717.578125,46970.76171875,43998.31640625
2021-08-20,49339.17578125,49342.15234375,46650.70703125
2021-08-21,48905.4921875,49717.01953125,48312.19921875
2021-08-22,49321.65234375,49471.609375,48199.94140625
2021-08-23,49546.1484375,50482.078125,49074.60546875
2021-08-24,47706.1171875,49878.76953125,47687.1171875
2021-08-25,48960.7890625,49202.87890625,47163.61328125
2021-08-26,46942.21875,49347.58203125,46405.78125
2021-08-27,49058.66796875,49112.78515625,46394.28125
2021-08-28,48902.40234375,49283.50390625,48499.23828125
2021-08-29,48829.83203125,49644.11328125,47925.85546875
2021-08-30,47054.984375,48925.60546875,46950.2734375
2021-08-31,47166.6875,48189.55078125,46750.09375
2021-09-01,48847.02734375,49111.08984375,46562.4375
2021-09-02,49327.72265625,50343.421875,48652.3203125
2021-09-03,50025.375,50982.2734375,48386.0859375
2021-09-04,49944.625,50545.58203125,49548.78125
2021-09-05,51753.41015625,51868.6796875,49538.59765625
2021-09-06,52633.53515625,52700.94140625,51053.6796875
2021-09-07,46811.12890625,52853.765625,43285.20703125
2021-09-08,46091.390625,47334.0546875,44561.39453125
2021-09-09,46391.421875,47261.94921875,45669.73828125
2021-09-10,44883.91015625,47031.7421875,44344.484375
2021-09-11,45201.45703125,45969.29296875,44818.265625
2021-09-12,46063.26953125,46364.87890625,44790.4609375
2021-09-13,44963.07421875,46598.6796875,43591.3203125
2021-09-14,47092.4921875,47218.125,44752.33203125
2021-09-15,48176.34765625,48450.46875,46773.328125
2021-09-16,47783.359375,48486.828125,47079.55859375
2021-09-17,47267.51953125,48160.921875,46832.5234375
2021-09-18,48278.36328125,48791.78125,47087.28515625
2021-09-19,47260.21875,48328.3671875,46919.8046875
2021-09-20,42843.80078125,47328.19921875,42598.9140625
2021-09-21,40693.67578125,43607.609375,39787.609375
2021-09-22,43574.5078125,43978.62109375,40625.6328125
2021-09-23,44895.09765625,44942.17578125,43109.33984375
2021-09-24,42839.75,45080.4921875,40936.55859375
2021-09-25,42716.59375,42996.2578125,41759.921875
2021-09-26,43208.5390625,43919.30078125,40848.4609375
2021-09-27,42235.73046875,44313.24609375,42190.6328125
2021-09-28,41034.54296875,42775.14453125,40931.6640625
2021-09-29,41564.36328125,42545.2578125,40829.66796875
2021-09-30,43790.89453125,44092.6015625,41444.58203125
2021-10-01,48116.94140625,48436.01171875,43320.0234375
2021-10-02,47711.48828125,48282.0625,47465.49609375
2021-10-03,48199.953125,49130.69140625,47157.2890625
2021-10-04,49112.90234375,49456.77734375,47045.00390625
2021-10-05,51514.8125,51839.984375,49072.83984375
2021-10-06,55361.44921875,55568.46484375,50488.19140625
2021-10-07,53805.984375,55338.625,53525.46875
2021-10-08,53967.84765625,55922.98046875,53688.0546875
2021-10-09,54968.22265625,55397.9453125,53735.14453125
2021-10-10,54771.578125,56401.3046875,54264.2578125
2021-10-11,57484.7890625,57793.0390625,54519.765625
2021-10-12,56041.05859375,57627.87890625,54477.97265625
2021-10-13,57401.09765625,57688.66015625,54370.97265625
2021-10-14,57321.5234375,58478.734375,56957.07421875
2021-10-15,61593.94921875,62757.12890625,56868.14453125
2021-10-16,60892.1796875,62274.4765625,60206.12109375
2021-10-17,61553.6171875,61645.5234375,59164.46875
2021-10-18,62026.078125,62614.66015625,60012.7578125
2021-10-19,64261.9921875,64434.53515625,61622.93359375
2021-10-20,65992.8359375,66930.390625,63610.67578125
2021-10-21,62210.171875,66600.546875,62117.41015625
2021-10-22,60692.265625,63715.0234375,60122.796875
2021-10-23,61393.6171875,61743.87890625,59826.5234375
2021-10-24,60930.8359375,61505.8046875,59643.34375
2021-10-25,63039.82421875,63729.32421875,60691.80078125
2021-10-26,60363.79296875,63229.02734375,59991.16015625
2021-10-27,58482.38671875,61435.18359375,58208.1875
2021-10-28,60622.13671875,62128.6328125,58206.91796875
2021-10-29,62227.96484375,62927.609375,60329.96484375
2021-10-30,61888.83203125,62330.14453125,60918.38671875
2021-10-31,61318.95703125,62406.171875,60074.328125
2021-11-01,61004.40625,62419.00390625,59695.18359375
2021-11-02,63226.40234375,64242.79296875,60673.0546875
2021-11-03,62970.046875,63516.9375,61184.23828125
2021-11-04,61452.23046875,63123.2890625,60799.6640625
2021-11-05,61125.67578125,62541.46875,60844.609375
2021-11-06,61527.48046875,61590.68359375,60163.78125
2021-11-07,63326.98828125,63326.98828125,61432.48828125
2021-11-08,67566.828125,67673.7421875,63344.06640625
2021-11-09,66971.828125,68530.3359375,66382.0625
2021-11-10,64995.23046875,68789.625,63208.11328125
2021-11-11,64949.9609375,65579.015625,64180.48828125
2021-11-12,64155.94140625,65460.81640625,62333.9140625
2021-11-13,64469.52734375,64915.67578125,63303.734375
2021-11-14,65466.83984375,65495.1796875,63647.80859375
2021-11-15,63557.87109375,66281.5703125,63548.14453125
2021-11-16,60161.24609375,63721.1953125,59016.3359375
2021-11-17,60368.01171875,60823.609375,58515.41015625
2021-11-18,56942.13671875,60948.5,56550.79296875
2021-11-19,58119.578125,58351.11328125,55705.1796875
2021-11-20,59697.1953125,59859.87890625,57469.7265625
2021-11-21,58730.4765625,60004.42578125,58618.9296875
2021-11-22,56289.2890625,59266.359375,55679.83984375
2021-11-23,57569.07421875,57875.515625,55632.76171875
2021-11-24,56280.42578125,57803.06640625,55964.22265625
2021-11-25,57274.6796875,59367.96875,57146.68359375
2021-11-26,53569.765625,59183.48046875,53569.765625
2021-11-27,54815.078125,55329.2578125,53668.35546875
2021-11-28,57248.45703125,57393.84375,53576.734375
2021-11-29,57806.56640625,58872.87890625,56792.52734375
2021-11-30,57005.42578125,59113.40234375,56057.28125
2021-12-01,57229.828125,59041.68359375,56553.08203125
2021-12-02,56477.81640625,57349.234375,55895.1328125
2021-12-03,53598.24609375,57482.16796875,52496.5859375
2021-12-04,49200.703125,53904.6796875,42874.6171875
2021-12-05,49368.84765625,49768.1484375,47857.49609375
2021-12-06,50582.625,50929.51953125,47281.03515625
2021-12-07,50700.0859375,51934.78125,50175.80859375
2021-12-08,50504.796875,51171.375,48765.98828125
2021-12-09,47672.12109375,50797.1640625,47358.3515625
2021-12-10,47243.3046875,50015.25390625,47023.69921875
2021-12-11,49362.5078125,49458.2109375,46942.34765625
2021-12-12,50098.3359375,50724.8671875,48725.8515625
2021-12-13,46737.48046875,50205.0,45894.84765625
2021-12-14,46612.6328125,48431.3984375,46424.49609375
2021-12-15,48896.72265625,49473.95703125,46671.96484375
2021-12-16,47665.42578125,49425.57421875,47529.87890625
2021-12-17,46202.14453125,48004.89453125,45618.21484375
2021-12-18,46848.77734375,47313.828125,45598.44140625
