index_date,btc_usd_observed,btc_usd_fitted,btc_usd_predicted,std_error,ci_95_lower,ci_95_upper
2021-05-04,53333.5390625,57153.47434167544,,,,
2021-05-05,57424.0078125,54987.54694960956,,,,
2021-05-06,56396.515625,55648.54053126571,,,,
2021-05-07,57356.40234375,58924.45565946388,,,,
2021-05-08,58803.77734375,56554.57230212517,,,,
2021-05-09,58232.31640625,57244.16867693669,,,,
2021-05-10,55859.796875,59478.925956709056,,,,
2021-05-11,56704.57421875,54376.67890205574,,,,
2021-05-12,49150.53515625,57594.53328100901,,,,
2021-05-13,49716.19140625,46519.93100967875,,,,
2021-05-14,49880.53515625,53405.21847313644,,,,
2021-05-15,46760.1875,51319.44444388066,,,,
2021-05-16,46456.05859375,47331.02357331724,,,,
2021-05-17,43537.51171875,42614.0786164433,,,,
2021-05-18,42909.40234375,44947.92156903125,,,,
2021-05-19,37002.44140625,33429.36970323444,,,,
2021-05-20,40782.73828125,43960.89916312946,,,,
2021-05-21,37304.69140625,37340.38546228164,,,,
2021-05-22,37536.6328125,36086.02116473741,,,,
2021-05-23,34770.58203125,36734.063525979596,,,,
2021-05-24,38705.98046875,34906.4794953348,,,,
2021-05-25,38402.22265625,34178.227242509405,,,,
2021-05-26,39294.19921875,34397.128727214236,,,,
2021-05-27,38436.96875,38335.73387833265,,,,
2021-05-28,35697.60546875,34588.507247412526,,,,
2021-05-29,34616.06640625,35844.148562872935,,,,
2021-05-30,35678.12890625,33350.014829146494,,,,
2021-05-31,37332.85546875,35907.36552766892,,,,
2021-06-01,36684.92578125,38419.770964594725,,,,
2021-06-02,37575.1796875,37096.67118696641,,,,
2021-06-03,39208.765625,37393.989488931846,,,,
2021-06-04,36894.40625,34722.044325359864,,,,
2021-06-05,35551.95703125,35739.126240618294,,,,
2021-06-06,35862.37890625,36121.57761248714,,,,
2021-06-07,33560.70703125,37705.024000594836,,,,
2021-06-08,33472.6328125,31871.767111598947,,,,
2021-06-09,37345.12109375,40385.776977178495,,,,
2021-06-10,36702.59765625,38135.96871455624,,,,
2021-06-11,37334.3984375,34190.95779590549,,,,
2021-06-12,35552.515625,34715.675112118006,,,,
2021-06-13,39097.859375,38601.61251769377,,,,
2021-06-14,40218.4765625,39324.366397118894,,,,
2021-06-15,40406.26953125,40758.93722996039,,,,
2021-06-16,38347.0625,40598.44935097228,,,,
2021-06-17,38053.50390625,39683.697088816865,,,,
2021-06-18,35787.24609375,39734.8063744076,,,,
2021-06-19,35615.87109375,33873.27453287978,,,,
2021-06-20,35698.296875,36931.41514539289,,,,
2021-06-21,31676.693359375,34946.01490074042,,,,
2021-06-22,32505.66015625,32826.53463261482,,,,
2021-06-23,33723.02734375,33292.48246088288,,,,
2021-06-24,34662.4375,31532.019924375803,,,,
2021-06-25,31637.779296875,34049.45626737205,,,,
2021-06-26,32186.27734375,31229.64335847794,,,,
2021-06-27,34649.64453125,34963.7493346636,,,,
2021-06-28,34434.3359375,30431.880812429717,,,,
2021-06-29,35867.77734375,36586.465288459134,,,,
2021-06-30,35040.8359375,33380.74528913713,,,,
2021-07-01,33572.1171875,35679.695492176164,,,,
